review_id,sentence_id,Time,sentence_type,sentence
1484,235,06-07-2012 00:00,c,"""1. Sometimes it can be long working hours, maybe 50-55 hrs a week. 2. As US based peers are based out of Seattle, need to take call PST time which can be challenging for india based employees. 3. It could be tough for new employees to understand work fast as the organization lack documentation and hence employee need to learn via trail and error way."""
1490,237,11-07-2012 00:00,s,"""Very hectic.. no proper work life balance..."""
1490,238,11-07-2012 00:00,p,"""The good salary.. talented people.. lot of learning"""
1488,240,17-07-2012 00:00,s,"""Good for those who want an easy going job, with a good salary"""
1488,241,17-07-2012 00:00,p,"""No work pressure in the company"""
1488,242,17-07-2012 00:00,c,"""Not much of growth seen in the company"""
1483,244,25-07-2012 00:00,s,"""Nothing can be generalized! Work nature always depends on the team no matter which company you are in."""
1483,245,25-07-2012 00:00,p,"""High salary would be the very first thing :) work experience in amazon is an added advantage - your talent is already proven if you are into amazon(at least that is what the impression is! ;) )"""
1476,247,29-07-2012 00:00,s,"""Amazing Amazon where business comes hand in hand with software"""
1476,248,29-07-2012 00:00,p,"""- A very good Learning Experience - Very good culture in terms of software organization. - Great hiring strategies and hiring culture, with its unique bar raising program it excels at hiring the best with minimum hassle. - You get a chance to work on very high visibility projects every once in a while. - Easy access to cloud technologies like S3 EC2 etc. - If you are a code explorer then the best place …   to be. - Foreign trips are frequent depending on what team and project you work on. - You get to learn the business point of view on everything. Hence helps in making future decisions - Very Good Package - Interaction with some very good people of the industry, may it be business or software. - Switch between managerial and software can be made easily within the system. - flexible timings. - Frugality & Customer obsession are two of the main things that has kept Amazon on the #1 position of eCommerce. You can be a part of this big change. - There are Principles on which everyone is evaluated. These principles are the core to Amazon and it is because of them amazon has scored a lot. Show More"""
1476,249,29-07-2012 00:00,c,"""- Employee is not an asset to the system. They are expendable ""things"". - Operational tasks take most of your time. The number of hours working on software development is always lesser then hours taken by operational tasks - Hassle free software development environment is something that will always be lacking in amazon work env - You will never be able to work on any individual project. Even the open source  …  code push is restricted under company's policy. - Frugality most of the times is too extreme. You will frequently find people crossing the bar and entering the greedy side under the name of frugality. - Everything happens by raising tickets. Even when you want to get a water bottle you need to raise a ticket or get approvals by your manager. - Interaction between different teams and there members are always on the software front which might bother in case you come from a very open culture. - Upper management is not very keen on individual development, there main aim is to get the task completed whatever it takes. - The promotion cycle is informally based on number of years of service and not on the work that you did in any year. - Compensations might not be satisfying in the future stage. - Nepotism and bureaucracy can be found but not prominently Show More"""
1477,251,30-07-2012 00:00,s,"""Working at Amazon"""
1477,252,30-07-2012 00:00,p,"""- Dynamic, shorter build cycles, you will see what you built in prod - Smart people - Lot of learning"""
1482,254,05-08-2012 00:00,s,"""software developer profile"""
1482,255,05-08-2012 00:00,p,"""good career growth good compensation chance to work on interesting problems on a daily basis"""
1482,256,05-08-2012 00:00,c,"""work environment is not that great bonus is not that great benefits are average no freedom in choosing a project to work on"""
1481,258,06-08-2012 00:00,s,"""Nice work, less pay."""
1481,259,06-08-2012 00:00,p,"""Great work environment with good people around. A steep learning curve for employees at all levels. Freedom to work in terms of hours as well as type of work. A lot of responsibility is given to employees."""
1481,260,06-08-2012 00:00,c,"""Pay is less when compared to competitors. Employee retention isn't considered important for lower roles. Employees are encouraged to work for long hours."""
1479,262,08-08-2012 00:00,s,"""Work Hard, Have Fun, Make History"""
1479,263,08-08-2012 00:00,p,"""Work Hard, Have Fun, Make History"""
1479,264,08-08-2012 00:00,c,"""frequent overtime support required esp during weekends"""
1475,266,09-08-2012 00:00,s,"""work hard, have fun, make history."""
1475,267,09-08-2012 00:00,p,"""the concept of ownership of every project to the individuals is very gr8 in amazon, its the best place to learn."""
1474,269,10-08-2012 00:00,s,"""Entrepreneurial"""
1474,270,10-08-2012 00:00,p,"""Seriousness about Leadership Principles. Best in class peers."""
1474,271,10-08-2012 00:00,c,"""Long working hours. Missing Processes, which they tend to make up by hiring only the best"""
1478,273,12-08-2012 00:00,s,"""Amazon - Software Development Engineer"""
1478,274,12-08-2012 00:00,p,"""Good challenging work. Smart people around in team. Usually very less maintenance work. You can learn many technologies. Even distribution of work between Indian and US employees."""
1478,275,12-08-2012 00:00,c,"""Always you are forced to complete tasks in time which is less than actually required, and hence long working hours needed to meet the deadlines."""
1472,277,13-08-2012 00:00,s,"""Frugal but Fun"""
1472,278,13-08-2012 00:00,p,"""Very knowledgeable peers and support for innovation and invention."""
1473,280,17-08-2012 00:00,s,"""Really good working environment."""
1473,281,17-08-2012 00:00,p,"""Pay, growth opportunities, work culture, no pressure at all."""
1473,282,17-08-2012 00:00,c,"""work pressure in the time of Christmas but it is not as much as the other company. We can still manage it easily."""
1480,284,21-08-2012 00:00,s,"""Terrible Work Life balance, Very Poor rewards (Zero stocks, Zero bonus) for Exceeds/Strong ratings"""
1480,285,21-08-2012 00:00,p,"""- Learn a lot - Decent salary"""
1480,286,21-08-2012 00:00,c,"""- Too much of politics (US guys do only that) - Terrible Work life balance - Folks who got Exceeds ratings and strong contribution ratings also got Zero stocks, and less than inflation hike (<9%) - No concept of Performance bonus - No clear direction for management and you keep working all through. Its like throwing 100 stones and hoping 1 hits, and by doing so, you are screwed - Salary structure is …   organized in a such a way that you will be thrown out in 2 years, if they don't like you. Show More"""
1466,288,25-08-2012 00:00,s,"""Leadership Principles"""
1466,289,25-08-2012 00:00,p,"""All the leadership principles are part of the Job. Without which you cannot get into Amazon or cannot perform in Amazon."""
1466,290,25-08-2012 00:00,c,"""There are no major cons. People do think that there might be too much of work. That again boils down to Leadership principles and no body forces them to do that way. It would be inherent"""
1470,292,26-08-2012 00:00,s,"""loving to be part of Amazon"""
1470,293,26-08-2012 00:00,p,"""Ownership, Responsibilities, Leadership qualities, quality of work, flexible office hours"""
1471,295,27-08-2012 00:00,s,"""A very innovative and fun place to work at..........."""
