review_id,sentence_id,Time,sentence_type,sentence
267,130,2012-07-31 00:00:00,p,"""Get to collaborate and work with people all over the world.You impact is also at a levellevel. Benefits and facilities are great."""
264,132,2012-08-04 00:00:00,s,"""""Work-life Balance"""""
264,133,2012-08-04 00:00:00,p,"""Excellent employee benefits. Very satisfied."""
263,135,2012-08-09 00:00:00,s,"""""Great place to work"""""
263,136,2012-08-09 00:00:00,p,"""Great place to work, the most amazing perks, amazing casual and friendly culture, some of the most decent and bright minds to work with, flexibility in terms of moving around internally, not having to do overtime or weekend work, no micromanagement most of the time, no time-cards"""
263,137,2012-08-09 00:00:00,c,"""ppl have sometimes complained a bit abt the management, or about the salaries (AdWords salaries) or about"""
260,139,2012-08-12 00:00:00,s,"""""Working at Google"""""
260,140,2012-08-12 00:00:00,p,"""Great benefits, great people, great culture. Superb Food."""
260,141,2012-08-12 00:00:00,c,"""A lot of great people around you. The company has grown quite big by now. So you have to work really hard for promotions. If it can be considered a con, the overwhelming variety of great food around you makes it very tough to control westline :)"""
261,143,2012-08-15 00:00:00,s,"""""Satisfaction guaranteed!"""""
261,144,2012-08-15 00:00:00,p,"""The facilities for transport, food, spiritual, recreation etc are top class! I can't think of another company who provides so much to their employees (atleast in India, there are none!)"""
261,145,2012-08-15 00:00:00,c,"""Work can get stressful sometimes and you have to slog it out inorder to get a promotion/bonus."""
266,147,2012-08-18 00:00:00,s,"""""exposure"""""
266,148,2012-08-18 00:00:00,p,"""it gives you exposure to the global market.offers you a really good package with regular promotion and increment in salary"""
266,149,2012-08-18 00:00:00,c,"""you really need to work hard to sustain.and you must be thorough with your engineering skills.very competitive enviornment."""
258,151,2012-08-19 00:00:00,s,"""""A very good place to work for"""""
258,152,2012-08-19 00:00:00,p,"""Great minds around Importance to innovation Great perks"""
262,154,2012-08-30 00:00:00,s,"""""Great Place to work"""""
262,155,2012-08-30 00:00:00,p,"""Best Salary in the industry"""
262,156,2012-08-30 00:00:00,c,"""Too many product closure. Less Visibility"""
259,158,2012-09-01 00:00:00,s,"""""Nice place to while away time but no real career growth"""""
259,159,2012-09-01 00:00:00,p,"""Apart from the brand the bouquet of perks. A nice peer group and global exposure"""
259,160,2012-09-01 00:00:00,c,"""Overqualified for very basic jobs. They act fussy about recruitment but still don't provide anything challenging to entry level employees in the sales and adwords department at least in the Indian office. Also the perks don't make up for the poor take home salary."""
256,162,2012-09-03 00:00:00,s,"""""Life at Google"""""
256,163,2012-09-03 00:00:00,p,"""Brilliant work environment and very cordial managers."""
255,165,2012-09-11 00:00:00,s,"""""Great Place to work in"""""
255,166,2012-09-11 00:00:00,p,"""Fantastic Work Culture and Reasonable work life balance, not to mention heavenly perks."""
255,167,2012-09-11 00:00:00,c,"""Not too many really to Say"""
257,169,2012-09-15 00:00:00,s,"""""Data analyst"""""
257,170,2012-09-15 00:00:00,p,"""good environment to work in good place to learn stuff good in terms of growth better access to the tools available able to apply to other teams in the office"""
257,171,2012-09-15 00:00:00,c,"""differentiation between the full timers and part timers salary compensation breaking structure not so rewarding politics between the employers and favoritism towards certain employees needs to be minimised"""
253,173,2012-09-16 00:00:00,s,"""""Review Google"""""
253,174,2012-09-16 00:00:00,p,"""Work Culture is the best"""
253,175,2012-09-16 00:00:00,c,"""Most of the Workforce is very young"""
251,177,2012-09-25 00:00:00,s,"""""Experience of a lifetime"""""
251,178,2012-09-25 00:00:00,p,"""Has the best employee environment and gives the best facilities to them. A family like atmosphere inside company without bounds makes you enjoy your work."""
250,180,2012-09-27 00:00:00,s,"""""Working at Google - Once in a lifetime experience"""""
250,181,2012-09-27 00:00:00,p,"""- Google is at the cutting edge of everything from technology to HR practices to work-life balance - Google encourages innovation more than other places I have worked at. - Google takes Care of it's employees"""
250,182,2012-09-27 00:00:00,c,"""- When you work at the topmost company that is already successful, you miss the chance to work in a start-up environment"""
252,184,2012-10-13 00:00:00,s,"""""Fun, relaxing place to work"""""
252,185,2012-10-13 00:00:00,p,"""Free food, indoor games, no pressure of work"""
252,186,2012-10-13 00:00:00,c,"""Cant think of any right now"""
254,188,2012-10-15 00:00:00,s,"""""It indexes billions of web pages, so that users can search for the information they desire, through the use of keywords."""""
254,189,2012-10-15 00:00:00,p,"""Google has been estimated to run over one million servers in data centers around the world, and process over one billion search requests and about twenty-four petabytes of user-generated data every day."""
249,191,2012-10-27 00:00:00,s,"""""Google! is Google, You have got to love a job at Google"""""
249,192,2012-10-27 00:00:00,p,"""Work Culture Perks Career growth opportunities"""
249,193,2012-10-27 00:00:00,c,"""Bureaucracy creeping in with the big size you have to be really good to really stand out coz everyone is good"""
247,195,2012-11-20 00:00:00,s,"""""One year of learning and fun at the most exciting workplace in India"""""
247,196,2012-11-20 00:00:00,p,"""Great culture Great people Exciting work Outstanding perks Great learning Entrepreneurial environment Amazing perks Free conveyance Global travel Steep learning curve"""
